GIORNO_RIFERIMENTO;C1_A1;C1_B1;C1_C1;C1_D1;C1_E1;C1_F1;C1_A2;C1_B2;C1_C2;C1_D2;C1_E2;C1_F2;C1_A3;C1_B3;C1_C3;C1_D3;C1_E3;C1_F3;C2;C4;T1_1;T1_2;T1_3
01/01/2018;0.86697908;0.86697908;0.75699585;0.83599928;0.64143703;0.71282156;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.33062123;0.00000001;0.35464888;0.00000001;0.00000001
02/01/2018;0.86697908;0.86697908;0.75699585;0.83599928;0.64143703;0.71282156;1.05876366;1.05876366;0.91864406;1.02988862;0.78570366;0.87617225;1.27564051;1.27564051;1.1040028;1.2387208;0.94494981;1.05209559;0.33062123;0.00000001;0.35464888;0.43150336;0.51722923
03/01/2018;0.86697908;0.86697908;0.75699585;0.83599928;0.64143703;0.71282156;1.05876366;1.05876366;0.91864406;1.02988862;0.78570366;0.87617225;1.27564051;1.27564051;1.1040028;1.2387208;0.94494981;1.05209559;0.33062123;0.00000001;0.35464888;0.43150336;0.51722923
04/01/2018;0.86697908;0.86697908;0.75699585;0.83599928;0.64143703;0.71282156;1.05876366;1.05876366;0.91864406;1.02988862;0.78570366;0.87617225;1.27564051;1.27564051;1.1040028;1.2387208;0.94494981;1.05209559;0.33062123;0.00000001;0.35464888;0.43150336;0.51722923
05/01/2018;0.86697908;0.86697908;0.75699585;0.83599928;0.64143703;0.71282156;1.05876366;1.05876366;0.91864406;1.02988862;0.78570366;0.87617225;1.27564051;1.27564051;1.1040028;1.2387208;0.94494981;1.05209559;0.33062123;0.00000001;0.35464888;0.43150336;0.51722923
06/01/2018;0.86697908;0.86697908;0.75699585;0.83599928;0.64143703;0.71282156;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.33062123;0.00000001;0.35464888;0.00000001;0.00000001
07/01/2018;0.86697908;0.86697908;0.75699585;0.83599928;0.64143518;0.71282156;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.33062123;0.00000001;0.35464888;0.00000001;0.00000001
08/01/2018;0.90910045;0.90910045;0.81929367;0.76542668;0.68055993;0.6823351;1.11020271;1.11020271;0.9942449;0.94294846;0.83362574;0.83869949;1.33761632;1.33761632;1.19485794;1.13415164;1.00258473;1.00709881;0.33062123;0.00000001;0.35464888;0.43150336;0.51722923
09/01/2018;0.90910045;0.90910045;0.81929367;0.76542668;0.68055993;0.6823351;1.11020271;1.11020271;0.9942449;0.94294846;0.83362574;0.83869949;1.33761632;1.33761632;1.19485794;1.13415164;1.00258473;1.00709881;0.33062123;0.00000001;0.35464888;0.43150336;0.51722923
10/01/2018;0.90910045;0.90910045;0.81929367;0.76542668;0.68055993;0.6823351;1.11020271;1.11020271;0.9942449;0.94294846;0.83362574;0.83869949;1.33761632;1.33761632;1.19485794;1.13415164;1.00258473;1.00709881;0.33062123;0.00000001;0.35464888;0.43150336;0.51722923
