PROF;B1PROF;B2PROF;B3PROF;B4PROF;Cat_uso;Zona_clim;Classe_prelievo
C1A1;1;0;0;0;C1;A;1
C1B1;1;0;0;0;C1;B;1
C1C1;1;0;0;0;C1;C;1
C1D1;1;0;0;0;C1;D;1
C1E1;1;0;0;0;C1;E;1
C1F1;1;0;0;0;C1;F;1
C2X1;0;1;0;0;C2;;1
C3A1;0,57;0,43;0;0;C3;A;1
C3B1;0,57;0,43;0;0;C3;B;1
C3C1;0,76;0,24;0;0;C3;C;1
C3D1;0,71;0,29;0;0;C3;D;1
C3E1;0,76;0,24;0;0;C3;E;1
C3F1;0,72;0,28;0;0;C3;F;1
C4X1;0;0;0;1;C4;;1
C5A1;0,5;0;0;0,5;C5;A;1
C5B1;0,5;0;0;0,5;C5;B;1
C5C1;0,6;0;0;0,4;C5;C;1
C5D1;0,67;0;0;0,33;C5;D;1
C5E1;0,72;0;0;0,28;C5;E;1
C5F1;0,8;0;0;0,2;C5;F;1
T1X1;0;0;1;0;T1;;1
T1X2;0;0;1;0;T1;;2
T1X3;0;0;1;0;T1;;3
T2A1;0,23;0;0,77;0;T2;A;1
T2B1;0,23;0;0,77;0;T2;B;1
T2C1;0,23;0;0,77;0;T2;C;1
T2D1;0,23;0;0,77;0;T2;D;1
T2E1;0,23;0;0,77;0;T2;E;1
T2F1;0,23;0;0,77;0;T2;F;1
T2A2;0,23;0;0,77;0;T2;A;2
T2B2;0,23;0;0,77;0;T2;B;2
T2C2;0,23;0;0,77;0;T2;C;2
T2D2;0,23;0;0,77;0;T2;D;2
T2E2;0,23;0;0,77;0;T2;E;2
T2F2;0,23;0;0,77;0;T2;F;2
T2A3;0,23;0;0,77;0;T2;A;3
T2B3;0,23;0;0,77;0;T2;B;3
T2C3;0,23;0;0,77;0;T2;C;3
T2D3;0,23;0;0,77;0;T2;D;3
T2E3;0,23;0;0,77;0;T2;E;3
T2F3;0,23;0;0,77;0;T2;F;3
